OBJECTID,ZIPCODE,Zip_code,PAdAsthma,PAdAsthma2,NAdAsthma,Pop_18olde
1,90001,90001,0.096,9.6,4012.8,41800
2,90002,90002,0.103,10.3,3903.7,37900
3,90003,90003,0.1,10,4090,40900
4,90004,90004,0.09,9,4329,48100
5,90005,90005,0.087,8.7,2749.2,31600
6,90006,90006,0.083,8.3,3187.2,38400
7,90007,90007,0.107,10.7,3327.7,31100
8,90008,90008,0.151,15.1,4031.7,26700
9,90011,90011,0.091,9.1,6415.5,70500
10,90012,90012,0.091,9.1,1510.6,16600
11,90013,90013,0,0,0,0
12,90014,90014,0,0,0,0
13,90015,90015,0.091,9.1,1537.9,16900
14,90016,90016,0.119,11.9,4498.2,37800
15,90017,90017,0.089,8.9,1958,22000
16,90018,90018,0.111,11.1,4184.7,37700
17,90019,90019,0.102,10.2,4906.2,48100
18,90020,90020,0.084,8.4,2326.8,27700
19,90021,90021,0,0,0,0
20,90023,90023,0.087,8.7,2810.1,32300
21,90024,90024,0.163,16.3,5688.7,34900
22,90025,90025,0.139,13.9,5170.8,37200
23,90026,90026,0.097,9.7,5441.7,56100
24,90027,90027,0.112,11.2,3998.4,35700
25,90028,90028,0.108,10.8,2840.4,26300
26,90029,90029,0.091,9.1,2757.3,30300
27,90031,90031,0.081,8.1,2373.3,29300
28,90032,90032,0.097,9.7,3230.1,33300
29,90033,90033,0.082,8.2,2665,32500
30,90034,90034,0.134,13.4,6740.2,50300
31,90035,90035,0.14,14,3136,22400
32,90036,90036,0.115,11.5,3507.5,30500
33,90037,90037,0.102,10.2,4641,45500
34,90038,90038,0.1,10,2280,22800
35,90039,90039,0.102,10.2,2325.6,22800
36,90041,90041,0.106,10.6,2173,20500
37,90042,90042,0.098,9.8,4596.2,46900
38,90043,90043,0.148,14.8,5342.8,36100
39,90044,90044,0.113,11.3,7830.9,69300
40,90045,90045,0.148,14.8,4292,29000
41,90046,90046,0.121,12.1,5227.2,43200
42,90047,90047,0.14,14,5502,39300
43,90048,90048,0.118,11.8,2348.2,19900
44,90049,90049,0.131,13.1,3903.8,29800
45,90056,90056,0,0,0,0
46,90057,90057,0.085,8.5,2745.5,32300
47,90058,90058,0,0,0,0
48,90059,90059,0.111,11.1,2886,26000
49,90061,90061,0.115,11.5,2185,19000
50,90062,90062,0.111,11.1,2775,25000
51,90063,90063,0.106,10.6,4134,39000
52,90064,90064,0.132,13.2,3141.6,23800
53,90065,90065,0.094,9.4,3421.6,36400
54,90066,90066,0.136,13.6,6242.4,45900
55,90067,90067,0,0,0,0
56,90068,90068,0.119,11.9,2546.6,21400
57,90069,90069,0.115,11.5,2277,19800
58,90071,90071,0,0,0,0
59,90073,90073,0,0,0,0
60,90077,90077,0,0,0,0
61,90089,90089,0,0,0,0
62,90094,90094,0,0,0,0
63,90095,90095,0,0,0,0
64,90210,90210,0.125,12.5,2300,18400
65,90211,90211,0,0,0,0
66,90212,90212,0,0,0,0
67,90230,90230,0.136,13.6,3386.4,24900
68,90232,90232,0,0,0,0
69,90245,90245,0,0,0,0
70,90247,90247,0.108,10.8,3834,35500
71,90248,90248,0,0,0,0
72,90250,90250,0.116,11.6,8653.6,74600
73,90265,90265,0.144,14.4,2433.6,16900
74,90272,90272,0.118,11.8,2289.2,19400
75,90275,90275,0.118,11.8,4366,37000
76,90290,90290,0,0,0,0
77,90291,90291,0.138,13.8,3394.8,24600
78,90292,90292,0.139,13.9,2905.1,20900
79,90293,90293,0,0,0,0
80,90302,90302,0.13,13,3003,23100
81,90304,90304,0.09,9,1701,18900
82,90305,90305,0,0,0,0
83,90402,90402,0,0,0,0
84,90403,90403,0.139,13.9,2988.5,21500
85,90404,90404,0.144,14.4,2721.6,18900
86,90405,90405,0.143,14.3,3417.7,23900
87,90501,90501,0.113,11.3,3785.5,33500
88,90502,90502,0.107,10.7,1626.4,15200
89,90504,90504,0.122,12.2,3428.2,28100
90,90710,90710,0.116,11.6,2575.2,22200
91,90717,90717,0.123,12.3,2004.9,16300
92,90731,90731,0.12,12,5256,43800
93,90732,90732,0.134,13.4,2693.4,20100
94,90744,90744,0.091,9.1,3467.1,38100
95,90745,90745,0.101,10.1,4322.8,42800
96,90802,90802,0.123,12.3,4218.9,34300
97,90810,90810,0.102,10.2,3182.4,31200
98,90813,90813,0.104,10.4,4108,39500
99,90822,90822,0,0,0,0
100,91030,91030,0.166,16.6,3303.4,19900
101,91040,91040,0.126,12.6,2242.8,17800
102,91042,91042,0.126,12.6,2860.2,22700
103,91105,91105,0,0,0,0
104,91201,91201,0.127,12.7,2451.1,19300
105,91204,91204,0,0,0,0
106,91205,91205,0.12,12,3828,31900
107,91206,91206,0.124,12.4,3682.8,29700
108,91208,91208,0,0,0,0
109,91214,91214,0.129,12.9,3328.2,25800
110,91302,91302,0.123,12.3,2533.8,20600
111,91303,91303,0.107,10.7,2439.6,22800
112,91304,91304,0.113,11.3,4327.9,38300
113,91306,91306,0.104,10.4,3577.6,34400
114,91307,91307,0.133,13.3,2487.1,18700
115,91311,91311,0.126,12.6,4069.8,32300
116,91316,91316,0.135,13.5,2956.5,21900
117,91321,91321,0.12,12,3180,26500
118,91324,91324,0.113,11.3,2791.1,24700
119,91325,91325,0.122,12.2,3025.6,24800
120,91326,91326,0.122,12.2,3416,28000
121,91330,91330,0,0,0,0
122,91331,91331,0.091,9.1,6806.8,74800
123,91335,91335,0.108,10.8,6415.2,59400
124,91340,91340,0.09,9,2511,27900
125,91342,91342,0.1,10,6510,65100
126,91343,91343,0.103,10.3,4789.5,46500
127,91344,91344,0.122,12.2,5246,43000
128,91345,91345,0,0,0,0
129,91352,91352,0.099,9.9,3851.1,38900
130,91356,91356,0.127,12.7,3098.8,24400
131,91364,91364,0.137,13.7,2863.3,20900
132,91367,91367,0.128,12.8,4224,33000
133,91401,91401,0.12,12,3984,33200
134,91402,91402,0.092,9.2,4747.2,51600
135,91403,91403,0.13,13,2236,17200
136,91405,91405,0.104,10.4,3816.8,36700
137,91406,91406,0.109,10.9,4828.7,44300
138,91411,91411,0.113,11.3,2327.8,20600
139,91423,91423,0.131,13.1,3327.4,25400
140,91436,91436,0.121,12.1,1851.3,15300
141,91501,91501,0.132,13.2,2442,18500
142,91504,91504,0.127,12.7,2628.9,20700
143,91505,91505,0.131,13.1,3314.3,25300
144,91506,91506,0.134,13.4,2117.2,15800
145,91522,91522,0,0,0,0
146,91601,91601,0.121,12.1,3859.9,31900
147,91602,91602,0.129,12.9,2128.5,16500
148,91604,91604,0.125,12.5,3100,24800
149,91605,91605,0.102,10.2,4263.6,41800
150,91606,91606,0.109,10.9,3749.6,34400
151,91607,91607,0.134,13.4,3309.8,24700
152,91608,91608,0,0,0,0
153,91754,91754,0.123,12.3,3259.5,26500
154,91801,91801,0.13,13,5590,43000
155,91803,91803,0.128,12.8,3084.8,24100
